Day,Cash On Hand
11,169058
12,141639
13,790808
14,772627
15,234102
16,675085
17,1327904
18,3418040
19,4918273
20,3882865
21,4395873
22,5120778
23,5606674
24,5823254
25,7533064
26,9560629
27,9771551
28,10026321
29,10194349
30,11407179
31,11768201
32,12151950
33,15478043
34,18179518
35,21217759
36,22813668
37,24051377
38,24657488
39,25589712
40,25396658
41,26864380
42,27608624
43,30354652
44,34144844
45,37725506
46,38851402
47,39310432
48,40189455
49,40494241
50,41317528
51,42134788
52,44149813
53,46616733
54,49057380
55,49737067
56,51173297
57,52072834
58,51742644
59,51218566
60,52103106
61,52778677
62,52590628
63,54071657
64,55276313
65,58501804
66,59239898
67,61852591
68,63306520
69,64090040
70,69564308
71,74709734
72,78243459
73,77943236
74,78866008
75,80317924
76,81163794
77,82249991
78,83909616
79,82660245
80,83495436
81,84157172
82,84926628
83,86296231
84,92166999
85,98143748
86,97749031
87,97889482
88,100240804
89,101154248
90,102572926
